latitude,longitude,altitude,geometry,uuid,name,lon,lat
37.5015015,127.0217403,,Point,340,튼튼영어마스터클럽이상수학학원,127.0217403,37.5015015
37.4851435,127.0333061,,Point,341,비너세움아카데미학원,127.0333061,37.4851435
37.51503,127.0167676,,Point,342,존앤섹션아카데미코리아학원,127.0167676,37.51503
37.5072738,127.0072892,,Point,343,반포비전매쓰학원,127.0072892,37.5072738
37.5144095,127.0115158,,Point,344,이탑수학교습소,127.0115158,37.5144095
37.4795933,126.999775,,Point,345,빅토리아잉글리쉬영어교습소,126.999775,37.4795933
37.4877641,127.026533,,Point,346,이에스엘(E.S.L)영어학원,127.026533,37.4877641
37.5059333,127.0011202,,Point,347,권박사학원,127.0011202,37.5059333
37.491726,126.9834198,,Point,348,김쌤최강영어교습소,126.9834198,37.491726
37.4922553,127.0259319,,Point,349,아렌디독서논술교습소,127.0259319,37.4922553
37.5043898,127.0008014,,Point,350,전원주니어미술학원,127.0008014,37.5043898
37.4932828,127.0172563,,Point,351,알타이탈리아어학원,127.0172563,37.4932828
37.473499,127.0440268,,Point,352,스카이엠(SKYM)수학학원,127.0440268,37.473499
37.4829188,127.0041177,,Point,353,서연고학원,127.0041177,37.4829188
37.4861931,126.9949492,,Point,354,가람하지혜언어전문학원,126.9949492,37.4861931
37.4920473,127.0149656,,Point,355,사파사진학원,127.0149656,37.4920473
37.5144095,127.0115158,,Point,356,엘림영어교습소,127.0115158,37.5144095
37.4750098,126.9821765,,Point,357,잼실용음악학원,126.9821765,37.4750098
37.4999252,127.0174633,,Point,358,맨투스명성학원,127.0174633,37.4999252
37.4803025,126.993106,,Point,359,한국발레하우스무용학원,126.993106,37.4803025
37.4886653,127.0276521,,Point,360,놀이공작실미술교습소,127.0276521,37.4886653
37.49216,127.0252999,,Point,361,미술로생각하기학원,127.0252999,37.49216
37.4850938,126.9949526,,Point,362,눈높이러닝센터방배제1보습학원,126.9949526,37.4850938
37.4724454,127.0474431,,Point,363,이지엠학원,127.0474431,37.4724454
37.4890743,127.0139417,,Point,364,엔조이씨지(Enjoy CG)학원,127.0139417,37.4890743
37.4999252,127.0174633,,Point,365,생각하는힘수학교습소,127.0174633,37.4999252
37.4720857,127.0464189,,Point,366,루이독서논술교습소,127.0464189,37.4720857
37.4698325,127.0441187,,Point,367,능률주니어랩학원,127.0441187,37.4698325
37.4772981,127.0000656,,Point,368,이강토혁신수학교습소,127.0000656,37.4772981
37.4942918,126.9831702,,Point,369,한올국어논술학원,126.9831702,37.4942918
37.4473228,127.0562945,,Point,370,미소꽃예술학원,127.0562945,37.4473228
37.5002071,127.0102102,,Point,371,토토빌놀이학원,127.0102102,37.5002071
37.4850884,126.9943195,,Point,372,뮤직필리아음악학원,126.9943195,37.4850884
37.5154139,127.0141834,,Point,373,수해법수학교습소,127.0141834,37.5154139
37.4970845,127.0236865,,Point,374,윈첼영어교습소,127.0236865,37.4970845
37.4843233,127.0398975,,Point,375,케이원건축학원,127.0398975,37.4843233
37.4915966,126.9830484,,Point,376,뮤직시티실용음악학원,126.9830484,37.4915966
37.4863198,127.029503,,Point,377,정수학교습소,127.029503,37.4863198
37.498479,127.0190881,,Point,378,엠지수학교습소,127.0190881,37.498479
37.4985529,127.0095874,,Point,379,쎄컨투넌영어교습소,127.0095874,37.4985529
37.4812574,126.9994362,,Point,380,한국전통주교육학원,126.9994362,37.4812574
37.4935367,127.0174565,,Point,381,(주)누리마루학원,127.0174565,37.4935367
37.4852649,127.030523,,Point,382,양재어썸기타학원,127.030523,37.4852649
37.5067454,127.0055318,,Point,383,시대인재반포센터수학스쿨별관학원,127.0055318,37.5067454
37.4925979,126.9894806,,Point,384,브리꼴라주미술교습소,126.9894806,37.4925979
37.506106,127.0034252,,Point,385,홍소랑영어교습소,127.0034252,37.506106
37.5097621,127.0214968,,Point,386,한국예술뷰티아카데미학원,127.0214968,37.5097621
37.5067454,127.0055318,,Point,387,반포새움학원,127.0055318,37.5067454
37.4951394,127.0140655,,Point,388,윤선생영어숲반포학원,127.0140655,37.4951394
37.4953816,126.9894204,,Point,389,애너하임영어교습소,126.9894204,37.4953816
37.4946785,127.0128276,,Point,390,엔알부동산아카데미학원,127.0128276,37.4946785
37.4819463,127.0160253,,Point,391,비씨컬리지잇서초어학원,127.0160253,37.4819463
37.4972794,126.983763,,Point,392,씨엠에스서초제2본원학원,126.983763,37.4972794
37.4831874,127.008196,,Point,393,피아이에프(PIF)서초관영어학원,127.008196,37.4831874
37.4830412,126.9962238,,Point,394,위즈무용학원,126.9962238,37.4830412
37.500014,127.0260121,,Point,395,에이스요리학원,127.0260121,37.500014
37.479225,126.984064,,Point,396,알파수학교습소,126.984064,37.479225
37.4933964,127.0168364,,Point,397,미키어학원,127.0168364,37.4933964
37.5029711,127.0120964,,Point,398,페디아플러스서초학원,127.0120964,37.5029711
37.4997174,127.0109178,,Point,399,바른입시가인학원,127.0109178,37.4997174
37.5029711,127.0120964,,Point,400,서울리체피아노교습소,127.0120964,37.5029711
37.4936329,127.0214472,,Point,401,정앤정잉글리쉬클럽영어교습소,127.0214472,37.4936329
37.4747623,127.0320719,,Point,402,이해법양재우성점수학교습소,127.0320719,37.4747623
37.5025316,127.0101908,,Point,403,제이비잉글리쉬영어교습소,127.0101908,37.5025316
37.4984294,127.0239744,,Point,404,아이비(IVY)독서실,127.0239744,37.4984294
37.5059333,127.0011202,,Point,405,반포지니엠국어학원,127.0011202,37.5059333
37.4880017,127.012825,,Point,406,경사모경매학원,127.012825,37.4880017
37.5100761,127.0202372,,Point,407,실버베리토탈악세서리학원,127.0202372,37.5100761
