uuid,name,type,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
restaurant_74767,(주)통나무집2,한식,서울특별시 서초구 내곡동 1-2670 1층,POINT (127.08176 37.4618683),4.3,pedestrian_3533387953,localroad_9758606335
restaurant_74769,누구나 홀딱 반한 닭,호프/통닭,서울특별시 서초구 방배동 445-4번지 1층,POINT (126.9824888 37.4769948),3.3,pedestrian_1905595295,localroad_1905595295
restaurant_74770,이모네식당,한식,서울특별시 서초구 양재동 93번지 1층,POINT (127.0402271 37.4780006),3.7,pedestrian_1925499022,localroad_1925499022
restaurant_74771,토다이 반포점,뷔페식,"서울특별시 서초구 반포동 19-1 ,20호,22호 지하 1층",POINT (127.0020955 37.5048873),3.7,pedestrian_2279487862,localroad_2279487862
restaurant_74772,홍보네 식당,한식,서울특별시 서초구 방배동 935-3 2층,POINT (126.9935129 37.4862079),4.9,pedestrian_2545067221,localroad_2545067221
restaurant_74773,불닭발 동대문 엽기 떡볶이 교대점,한식,서울특별시 서초구 서초동 1578-4 201호,POINT (127.0142996 37.4885096),3.3,pedestrian_3827547987,localroad_3827547987
restaurant_74774,한월길,한식,서울특별시 서초구 방배동 909-11 나이스빌 1층,POINT (126.996739 37.481721),4.6,pedestrian_1696934717,localroad_1696934717
restaurant_74775,덴큐,한식,서울특별시 서초구 잠원동 14-13 1층 5호,POINT (127.0184635 37.5159542),4.7,pedestrian_9891988058,localroad_3088864935
restaurant_74776,Cafe. MORROW(카페마로우),기타,서울특별시 서초구 서초동 1718-5 (1층),POINT (127.009439 37.4926588),4.8,pedestrian_3355067044,localroad_3355067044
restaurant_74777,만미정,한식,서울특별시 서초구 방배동 854-26번지 (1층),POINT (126.9907232 37.4893287),4.4,pedestrian_2511519004,localroad_2511519004
restaurant_74779,카나디안랍스트,일식,서울특별시 서초구 서초동 1465-11번지,POINT (127.0113455 37.4801412),3.8,pedestrian_11431861595,localroad_1430674305
restaurant_74780,화훼분식,한식,서울특별시 서초구 양재동 232-0번지,POINT (127.0403385 37.4666392),2.7,pedestrian_9693971087,localroad_4865811267
restaurant_74781,장터왕족발,한식,서울특별시 서초구 양재동 333-15번지 1층,POINT (127.0424327 37.469954),2.8,pedestrian_4184618609,localroad_4184618609
restaurant_74783,처갓집치킨,호프/통닭,서울특별시 서초구 방배동 868-28번지 1층,POINT (126.9891972 37.4867747),4.4,pedestrian_3804191175,localroad_3804191175
restaurant_74784,한밭식당,한식,서울특별시 서초구 서초동 1339-4번지,POINT (127.0304677 37.4895444),4.7,pedestrian_3826341157,localroad_3826341157
restaurant_74786,카페써니,한식,서울특별시 서초구 우면동 6번지 1층 101호 꿈꾸지오,POINT (127.0253353 37.4694177),4.8,pedestrian_4634856285,localroad_4634856285
restaurant_74787,강남식당,한식,서울특별시 서초구 신원동 418번지 2층,POINT (127.0580981 37.4567082),2.7,pedestrian_4633790811,localroad_4633790811
restaurant_74788,한우플러스,경양식,서울특별시 서초구 서초동 1576-9번지 지산빌딩 2층,POINT (127.0139717 37.4902279),2.7,pedestrian_2368063904,localroad_2368063904
restaurant_74789,인하순대국,한식,서울특별시 서초구 서초동 1551-8 102호,POINT (127.0098139 37.4908148),3.1,pedestrian_3827338148,localroad_3827338148
restaurant_74790,김가네(방배본동),한식,서울특별시 서초구 방배동 778-8번지,POINT (126.9860477 37.4939111),2.7,pedestrian_8486755387,localroad_2533109207
restaurant_74791,삼삼뼈국 서래마을점,한식,서울특별시 서초구 반포동 105-1 1층,POINT (126.9971912 37.4986466),4.9,pedestrian_2622809999,localroad_2622809999
restaurant_74792,참치랜드,한식,서울특별시 서초구 양재동 332-8번지 1층(102호),POINT (127.0425033 37.4688553),4.8,pedestrian_4184618605,localroad_4184618605
restaurant_74793,담소 소사골 순대?육개장 잠원점,한식,서울특별시 서초구 잠원동 36-26 윤덕빌딩 1층,POINT (127.0187243 37.5124513),4.8,pedestrian_2861578321,localroad_2861578320
restaurant_74794,bar Noy84(바 노이84),기타,서울특별시 서초구 반포동 92-4번지 지하 1층,POINT (126.9989696 37.4992744),2.6,pedestrian_2622713666,localroad_2622713666
restaurant_74796,푸라닭 서초3동점,한식,서울특별시 서초구 서초동 1489-10번지 1층 케이엠빌딩,POINT (127.0048947 37.4823036),3.5,pedestrian_1925407818,localroad_1925407818
restaurant_74797,경파,중국식,서울특별시 서초구 서초동 1302-1 서초오피스텔 지하1층5호,POINT (127.0217984 37.5031149),2.6,pedestrian_4894927245,localroad_414684605
restaurant_74798,그래놀라와 오슬로우,한식,서울특별시 서초구 서초동 1451-10번지 1층,POINT (127.0125146 37.4832326),4.6,pedestrian_8487678284,localroad_8487678284
restaurant_74799,메를로,경양식,서울특별시 서초구 서초동 1678-4번지 서초지웰타워 1층 101에이호,POINT (127.0202591 37.4954162),4.2,pedestrian_3355067068,localroad_3355067068
