uuid,node1_uuid,node2_uuid,distance,average_travel_time,geometry
localroad_6812,localroad_4309772426,localroad_3011650437,30.806,0.108727059,"MultiLineString ((127.0439334 37.4746416, 127.0437044 37.4748507))"
localroad_6813,localroad_4309772426,localroad_3011650435,71.073,0.250845882,"MultiLineString ((127.0439334 37.4746416, 127.0435795 37.4744168, 127.0433528 37.4746306))"
localroad_6814,localroad_4309803037,localroad_3011650447,52.876,0.211504,"MultiLineString ((127.0433889 37.4761937, 127.0437191 37.4765905))"
localroad_6815,localroad_4309803037,localroad_3011650438,76.66,0.287475,"MultiLineString ((127.0433889 37.4761937, 127.0429102 37.4756184))"
localroad_6816,localroad_4309803037,localroad_3011650445,44.59,0.17836,"MultiLineString ((127.0433889 37.4761937, 127.0436035 37.476081, 127.043761 37.475929))"
localroad_6817,localroad_4309803037,localroad_4184618641,165.888,0.55296,"MultiLineString ((127.0433889 37.4761937, 127.0429993 37.4763983, 127.0425174 37.4758504, 127.0421907 37.475479))"
localroad_6818,localroad_4309936850,localroad_4184424786,63.297,0.23736375,"MultiLineString ((127.0424364 37.4806113, 127.0428523 37.4810751))"
localroad_6819,localroad_4309936850,localroad_4184424787,37.985,0.126616667,"MultiLineString ((127.0424364 37.4806113, 127.0422134 37.4803191))"
localroad_6820,localroad_4309936850,localroad_4184424785,97.971,0.36739125,"MultiLineString ((127.0424364 37.4806113, 127.0433348 37.4800936))"
localroad_6821,localroad_4309936850,localroad_4184424784,49.792,0.149376,"MultiLineString ((127.0424364 37.4806113, 127.0419821 37.4808769))"
localroad_6822,localroad_4309955650,localroad_4184585270,42.864,0.14288,"MultiLineString ((127.0419222 37.4680771, 127.0415491 37.4678303))"
localroad_6823,localroad_4309955650,localroad_4310032001,40.14,0.141670588,"MultiLineString ((127.0419222 37.4680771, 127.0422716 37.4683082))"
localroad_6824,localroad_4309955650,localroad_4184585519,112.055,0.373516667,"MultiLineString ((127.0419222 37.4680771, 127.0417562 37.4682218, 127.0410683 37.4688229))"
localroad_6825,localroad_4309955650,localroad_4184585506,105.673,0.333704211,"MultiLineString ((127.0419222 37.4680771, 127.0420988 37.4679231, 127.0427499 37.4673905))"
localroad_6826,localroad_4310005495,localroad_1965713684,63.805,0.225194118,"MultiLineString ((127.0124985 37.4883427, 127.0127345 37.4878003))"
localroad_6827,localroad_4310005495,localroad_2368063915,50.385,0.18894375,"MultiLineString ((127.0124985 37.4883427, 127.0123121 37.488771))"
localroad_6828,localroad_4310005495,localroad_2386012695,127.973,0.383919,"MultiLineString ((127.0124985 37.4883427, 127.0138554 37.4887493))"
localroad_6829,localroad_4310005495,localroad_3827338097,65.697,0.24636375,"MultiLineString ((127.0124985 37.4883427, 127.0118019 37.488134))"
localroad_6830,localroad_4310024349,localroad_4309614268,50.444,0.159296842,"MultiLineString ((127.0005891 37.4959299, 127.0000187 37.4959615))"
localroad_6831,localroad_4310024349,localroad_2622767603,70.41,0.28164,"MultiLineString ((127.0005891 37.4959299, 127.0005398 37.4952979))"
localroad_6832,localroad_4310024349,localroad_2622767591,63.67,0.201063158,"MultiLineString ((127.0005891 37.4959299, 127.0006337 37.4965014))"
localroad_6833,localroad_4310024349,localroad_2622713695,79.43,0.264766667,"MultiLineString ((127.0005891 37.4959299, 127.001305 37.4958902, 127.0013359 37.4958885, 127.0014875 37.4958932))"
localroad_6834,localroad_4310028977,localroad_1430674333,32.122,0.113371765,"MultiLineString ((127.0069949 37.4826842, 127.0073587 37.4826738))"
localroad_6835,localroad_4310028977,localroad_4185715632,13.423,0.044743333,"MultiLineString ((127.0069949 37.4826842, 127.007004 37.4828047))"
localroad_6836,localroad_4310028977,localroad_4185715628,42.424,0.141413333,"MultiLineString ((127.0069949 37.4826842, 127.0066385 37.4826769, 127.0066323 37.4825784))"
localroad_6837,localroad_4310028977,localroad_4185715630,118.96,0.35688,"MultiLineString ((127.0069949 37.4826842, 127.0069363 37.4819116, 127.007308 37.4818889))"
localroad_6838,localroad_4310032001,localroad_4309955650,40.14,0.1338,"MultiLineString ((127.0422716 37.4683082, 127.0419222 37.4680771))"
localroad_6839,localroad_4310032001,localroad_4184585272,44.711,0.134133,"MultiLineString ((127.0422716 37.4683082, 127.0426607 37.4685657))"
localroad_6840,localroad_4310032001,localroad_4184585520,111.742,0.4190325,"MultiLineString ((127.0422716 37.4683082, 127.0420911 37.4684693, 127.0414303 37.4690592))"
localroad_6841,localroad_4310032001,localroad_4184585509,106.989,0.40120875,"MultiLineString ((127.0422716 37.4683082, 127.0424414 37.4681567, 127.0430194 37.4676647, 127.0430204 37.467578))"
localroad_6842,localroad_4311716972,localroad_4311717742,7.778,0.031112,"MultiLineString ((127.091758 37.4595885, 127.091739 37.4595202))"
localroad_6843,localroad_4311716972,localroad_4311718255,163.477,0.516243158,"MultiLineString ((127.091758 37.4595885, 127.0915619 37.4596482, 127.0913881 37.4596988, 127.0912503 37.4596897, 127.0910094 37.4596873, 127.0908208 37.4596714, 127.0905977 37.4596599, 127.0903139 37.4596782, 127.0902117 37.4596643, 127.0901278 37.459659"
localroad_6844,localroad_4311716972,localroad_4311717740,286.686,1.0750725,"MultiLineString ((127.091758 37.4595885, 127.0916636 37.4597563, 127.0915925 37.459821, 127.091427 37.459867, 127.0912822 37.4599039, 127.0910992 37.4599452, 127.0909574 37.4599845, 127.0908324 37.4600073, 127.0907194 37.4600259, 127.0906645 37.4600857,"
localroad_6845,localroad_4311716978,localroad_4311718038,238.535,0.795116667,"MultiLineString ((127.0868487 37.4597564, 127.0869096 37.4596714, 127.0869936 37.4596435, 127.0871618 37.459616, 127.0874372 37.45957, 127.0878017 37.4594972, 127.087968 37.4594804, 127.0880954 37.459501, 127.0882309 37.4594995, 127.0883334 37.4595264, 1"
localroad_6846,localroad_4311716978,localroad_4311718023,63.623,0.190869,"MultiLineString ((127.0868487 37.4597564, 127.0865124 37.4596298, 127.086208 37.4594949))"
localroad_6847,localroad_4311716978,localroad_4311718053,317.363,0.952089,"MultiLineString ((127.0868487 37.4597564, 127.0870749 37.4598415, 127.0878653 37.4601706, 127.0883073 37.460348, 127.0884232 37.4603733, 127.0889162 37.4605023, 127.0895366 37.4607048, 127.0897919 37.4608153, 127.0900151 37.4609211, 127.0900819 37.460976"
localroad_6848,localroad_4311717715,localroad_4311718255,84.317,0.252951,"MultiLineString ((127.0891836 37.4593844, 127.0892995 37.4593475, 127.089488 37.4593107, 127.0895894 37.4592854, 127.0896793 37.4593452, 127.089804 37.4594327, 127.0898992 37.4595355, 127.0899664 37.4595775))"
localroad_6849,localroad_4311717715,localroad_4311718241,439.241,1.64715375,"MultiLineString ((127.0891836 37.4593844, 127.0891082 37.4592785, 127.0890879 37.4591335, 127.0890667 37.4590152, 127.0890377 37.4588472, 127.0890385 37.4586958, 127.0889951 37.45865, 127.0889312 37.4585787, 127.0888188 37.458542, 127.0887129 37.4585001,"
localroad_6850,localroad_4311717715,localroad_4311718038,37.286,0.1398225,"MultiLineString ((127.0891836 37.4593844, 127.0892378 37.4594595, 127.0893228 37.4595364, 127.0893864 37.4596113, 127.0894097 37.4596643))"
localroad_6851,localroad_4311717740,localroad_4311718022,45.716,0.152386667,"MultiLineString ((127.0900873 37.4615207, 127.0900755 37.461721, 127.090073 37.4619316))"
localroad_6852,localroad_4311717740,localroad_4311718053,60.514,0.2269275,"MultiLineString ((127.0900873 37.4615207, 127.0900843 37.4612262, 127.0900819 37.4609765))"
localroad_6853,localroad_4311717740,localroad_4311716972,286.686,0.905324211,"MultiLineString ((127.0900873 37.4615207, 127.090157 37.4613471, 127.0902321 37.4610768, 127.0903018 37.4608466, 127.090415 37.4605737, 127.0905078 37.4603435, 127.0906181 37.4601664, 127.0906645 37.4600857, 127.0907194 37.4600259, 127.0908324 37.4600073"
localroad_6854,localroad_4311717742,localroad_4311716972,7.778,0.027451765,"MultiLineString ((127.091739 37.4595202, 127.091758 37.4595885))"
localroad_6855,localroad_4311717742,localroad_4311718022,591.082,1.970273333,"MultiLineString ((127.091739 37.4595202, 127.0919128 37.4595868, 127.0920565 37.459639, 127.0921477 37.4596667, 127.0922885 37.4596782, 127.0925522 37.4596643, 127.0927467 37.4596528, 127.0929671 37.4595892, 127.0931034 37.459481, 127.0932367 37.45954, 1"
localroad_6856,localroad_4311717742,localroad_4311718241,376.537,1.41201375,"MultiLineString ((127.091739 37.4595202, 127.0915635 37.459402, 127.0914678 37.4593054, 127.0914257 37.4591795, 127.0913809 37.4591097, 127.0912446 37.4589647, 127.0910499 37.4587263, 127.0908874 37.4585082, 127.0908034 37.4584094, 127.0907895 37.4582972"
