uuid,type,name,address,geometry,pedestrian_entrance_uuid,vehicle_entrance_uuid
daycare_3438,민간,잠원어린이집,서울특별시 서초구 신반포로33길 15 동아아파트 관리동 1층 잠원어린이집,POINT (127.0102247 37.5085329),pedestrian_5746496278,localroad_6726077830
daycare_3474,협동,함께크는어린이집,서울특별시 서초구 바우뫼로11안길 12 (우면동),POINT (127.0267426 37.4733489),pedestrian_4634856252,localroad_4634856252
daycare_3480,가정,경기몬테소리어린이집,서울특별시 서초구 서리풀4길 15-5 1층,POINT (127.0213351 37.4883518),pedestrian_3827258551,localroad_3827258552
daycare_3528,민간,샤이닝키즈어린이집,서울특별시 서초구 서초대로74길 30 (서초동),POINT (127.0267387 37.4945687),pedestrian_8489910543,localroad_3800522736
daycare_3544,직장,서울성모병원어린이집,서울특별시 서초구 반포대로 222 서울성모병원 내 별관 2층 어린이집 (반포동),POINT (127.0055284 37.5001768),pedestrian_1950794551,localroad_2622767637
daycare_3558,국공립,서초연꽃어린이집,서울특별시 서초구 사임당로19길 51 (서초동),POINT (127.018034 37.4917484),pedestrian_2295365607,localroad_2295365607
daycare_3572,국공립,서초한별어린이집,서울특별시 서초구 마방로2길 15-9,POINT (127.0396428 37.4733013),pedestrian_4184618629,localroad_4184618629
daycare_3573,국공립,성분도어린이집,서울특별시 서초구 방배로 40 .,POINT (126.9999938 37.4784418),pedestrian_11431861570,localroad_1696934669
daycare_3597,법인?단체등,까리따스어린이집,서울특별시 서초구 남부순환로 2124 (방배동),POINT (126.9841427 37.4742518),pedestrian_4644355021,localroad_4644355021
daycare_3614,민간,아람마주어린이집,서울특별시 서초구 동광로12길 12 (방배동),POINT (126.9865307 37.4908066),pedestrian_3804191242,localroad_3804191242
daycare_3780,국공립,서초구립 서초성모어린이집,서울특별시 서초구 고무래로8길 21 (반포동),POINT (127.0095088 37.5010752),pedestrian_1962358614,localroad_1962358614
daycare_3782,국공립,양재복지관어린이집,서울특별시 서초구 남부순환로 2610 (양재동),POINT (127.0361635 37.4845271),pedestrian_11431861685,localroad_4184399727
daycare_3793,국공립,서초장미어린이집,서울특별시 서초구 남부순환로 2543-5,POINT (127.0284675 37.4842028),pedestrian_11431861756,localroad_3827169460
daycare_3817,민간,신애어린이집,서울특별시 서초구 바우뫼로9길 9 (우면동),POINT (127.0265813 37.4718428),pedestrian_4634856429,localroad_4634856429
daycare_3820,가정,은빛어린이집,"서울특별시 서초구 효령로68길 13 21동 102호(서초동, 현대아파트)",POINT (127.0239785 37.4859499),pedestrian_6587146663,localroad_3492880493
daycare_3888,국공립,양재2동어린이집,서울특별시 서초구 강남대로8길 66-15,POINT (127.0446705 37.4691161),pedestrian_4184618615,localroad_4184618615
daycare_3915,가정,햇님어린이집,서울특별시 서초구 서리풀6길 28-4 (서초동),POINT (127.0213192 37.4887031),pedestrian_3827258660,localroad_3827258668
daycare_3937,국공립,우면어린이집,서울특별시 서초구 바우뫼로7길 11 주공아파트 (우면동),POINT (127.0240373 37.4701279),pedestrian_8491008562,localroad_4634856417
daycare_4025,국공립,반포1동어린이집,서울특별시 서초구 신반포로 318 (반포동),POINT (127.0184962 37.5100075),pedestrian_3827672551,localroad_2477374752
daycare_4057,국공립,방배어린이집,서울특별시 서초구 방배로19길 36-8,POINT (126.9930869 37.4850959),pedestrian_4185835012,localroad_1696934746
daycare_4064,국공립,서초어린이집,서울특별시 서초구 남부순환로 2271-1,POINT (127.0002257 37.4746143),pedestrian_7413276816,localroad_12228667058
daycare_4160,국공립,남태령어린이집,서울특별시 서초구 전원말길 6 (방배동),POINT (126.9887887 37.4659029),pedestrian_4195516950,localroad_8486132576
daycare_4237,민간,반포어린이집,서울특별시 서초구 사평대로20길 54 (반포동),POINT (126.9967378 37.4970299),pedestrian_2622810023,localroad_2622810023
