uuid,name,geometry,pedestrian_entrance_uuid,vehicle_entrance_uuid
citybusstop_8784,논현사거리,POINT (127.0198045 37.5104503),pedestrian_2861309355,localroad_2861309355
citybusstop_8785,반포리체,POINT (127.014206 37.5025241),pedestrian_4899542155,localroad_3112159931
citybusstop_8786,사평역,POINT (127.0153599 37.5039423),pedestrian_11428490563,localroad_4899542143
citybusstop_8787,사평역,POINT (127.01614548 37.50361438),pedestrian_3112829838,localroad_3112829843
citybusstop_8788,서원초등학교,POINT (127.016294 37.503531),pedestrian_3112829838,localroad_3112829843
citybusstop_8789,반포래미안아이파크아파트후문,POINT (127.0145622 37.5020978),pedestrian_12061668095,localroad_3112159931
citybusstop_8790,삼호아파트,POINT (127.01259 37.503845),pedestrian_4899658331,localroad_4899542151
citybusstop_8791,신반포역,POINT (126.995561 37.505847),pedestrian_3088424193,localroad_3088424193
citybusstop_8792,세빛섬,POINT (126.9945426 37.5087482),pedestrian_5598488803,localroad_5294397095
citybusstop_8793,경남상가,POINT (126.9998269 37.5046903),pedestrian_8486796673,localroad_8486796673
citybusstop_8794,반포대교남단한강시민공원입구,POINT (126.9995927 37.5076135),pedestrian_4738140907,localroad_4738140907
citybusstop_8795,반포대교남단(미정차),POINT (126.998196 37.509435),pedestrian_1132441045,localroad_1132441045
citybusstop_8796,반포한강공원.세빛섬,POINT (126.9973394 37.5120288),pedestrian_8293939523,localroad_6854199068
citybusstop_8797,세빛섬,POINT (126.9980214 37.5105823),pedestrian_5294397101,localroad_6854199068
citybusstop_8798,신반포역(중),POINT (126.99582683 37.50346494),pedestrian_11641428840,localroad_11641428831
citybusstop_8799,신반포역,POINT (126.995471 37.503435),pedestrian_11428505023,localroad_11641428833
citybusstop_8800,반포2동주민센터,POINT (126.9970535 37.5038531),pedestrian_12208580037,localroad_12208571844
citybusstop_8801,신반포역.세화여중고,POINT (126.9958263 37.5034152),pedestrian_11641428805,localroad_11641428831
citybusstop_8802,반포래미안,POINT (127.000397 37.504584),pedestrian_8486796673,localroad_8486796673
citybusstop_8803,고속터미널,POINT (127.0012438 37.5043838),pedestrian_5092097475,localroad_5092097475
citybusstop_8804,서래마을,POINT (126.999062 37.502649),pedestrian_8728414296,localroad_12208571847
citybusstop_8805,삼성래미안,POINT (126.9951871 37.5026297),pedestrian_11428490547,localroad_11641428831
citybusstop_8806,신반포역.세화여중고,POINT (126.994451 37.5029429),pedestrian_11641428804,localroad_11641428839
citybusstop_8807,신반포역(중),POINT (126.99445163 37.50299276),pedestrian_11641428804,localroad_11641428833
citybusstop_8808,신반포역,POINT (126.994772 37.503097),pedestrian_11641428804,localroad_11641428839
citybusstop_8809,삼성래미안아파트,POINT (126.9951138 37.5028105),pedestrian_11428490547,localroad_11641428831
citybusstop_8810,삼성래미안.이수역방향,POINT (127.0018492 37.5036468),pedestrian_7888119729,localroad_5092097475
citybusstop_8811,서래마을,POINT (126.997112 37.502193),pedestrian_2829529350,localroad_12208571847
