uuid,node1_uuid,node2_uuid,distance,average_travel_time,geometry
pedestrian_147,pedestrian_436842082,pedestrian_7513740462,765.302,15.30604,"MultiLineString ((127.0043705 37.4908085, 127.0021677 37.4902139, 126.9979099 37.488985, 126.9962137 37.4884692))"
pedestrian_148,pedestrian_436842092,pedestrian_2622767629,11.532,0.23064,"MultiLineString ((127.0016665 37.4935094, 127.0015546 37.4934558))"
pedestrian_149,pedestrian_436842092,pedestrian_2622767610,37.995,0.7599,"MultiLineString ((127.0016665 37.4935094, 127.0015 37.49371, 127.0014049 37.4937779))"
pedestrian_150,pedestrian_436842092,pedestrian_2622767602,50.403,1.00806,"MultiLineString ((127.0016665 37.4935094, 127.0020137 37.4932983, 127.0021192 37.4932329))"
pedestrian_151,pedestrian_436842100,pedestrian_2622767607,5.851,0.11702,"MultiLineString ((127.00049 37.49466, 127.0005434 37.4946288))"
pedestrian_152,pedestrian_436842100,pedestrian_2622767603,71.067,1.42134,"MultiLineString ((127.00049 37.49466, 127.0005398 37.4952979))"
pedestrian_153,pedestrian_436842100,pedestrian_436842103,54.61,1.0922,"MultiLineString ((127.00049 37.49466, 127.00028 37.49473, 127.00012 37.49478, 126.99991 37.49483))"
pedestrian_154,pedestrian_436842103,pedestrian_436842104,56.288,1.12576,"MultiLineString ((126.99991 37.49483, 126.99928 37.49491))"
pedestrian_155,pedestrian_436842103,pedestrian_4309614268,126.182,2.52364,"MultiLineString ((126.99991 37.49483, 127.0000187 37.4959615))"
pedestrian_156,pedestrian_436842103,pedestrian_2622767632,37.897,0.75794,"MultiLineString ((126.99991 37.49483, 126.9997839 37.4945042))"
pedestrian_157,pedestrian_436842103,pedestrian_436842100,54.61,1.0922,"MultiLineString ((126.99991 37.49483, 127.00012 37.49478, 127.00028 37.49473, 127.00049 37.49466))"
pedestrian_158,pedestrian_436842104,pedestrian_436842105,45.704,0.91408,"MultiLineString ((126.99928 37.49491, 126.9987657 37.4949594))"
pedestrian_159,pedestrian_436842104,pedestrian_436842103,56.288,1.12576,"MultiLineString ((126.99928 37.49491, 126.99991 37.49483))"
pedestrian_160,pedestrian_436842104,pedestrian_2622713697,121.191,2.42382,"MultiLineString ((126.99928 37.49491, 126.9993975 37.4959959))"
pedestrian_161,pedestrian_436842105,pedestrian_436837056,70.498,1.40996,"MultiLineString ((126.9987657 37.4949594, 126.9979682 37.4949993))"
pedestrian_162,pedestrian_436842105,pedestrian_436842104,45.704,0.91408,"MultiLineString ((126.9987657 37.4949594, 126.99928 37.49491))"
pedestrian_163,pedestrian_436842105,pedestrian_2622713667,124.382,2.48764,"MultiLineString ((126.9987657 37.4949594, 126.9988634 37.4960753))"
pedestrian_164,pedestrian_436843475,pedestrian_1925498849,32.976,0.65952,"MultiLineString ((127.0354982 37.4759643, 127.0357756 37.476163))"
pedestrian_165,pedestrian_436843475,pedestrian_1925498832,72.296,1.44592,"MultiLineString ((127.0354982 37.4759643, 127.0348444 37.4755725))"
pedestrian_166,pedestrian_436843475,pedestrian_1858938824,34.073,0.68146,"MultiLineString ((127.0354982 37.4759643, 127.0357584 37.4757379))"
pedestrian_167,pedestrian_436843477,pedestrian_1925498980,17.437,0.34874,"MultiLineString ((127.03787 37.47773, 127.0380275 37.4778247))"
pedestrian_168,pedestrian_436843477,pedestrian_1925498914,124.508,2.49016,"MultiLineString ((127.03787 37.47773, 127.0368538 37.4769532))"
pedestrian_169,pedestrian_436843477,pedestrian_4184411284,47.531,0.95062,"MultiLineString ((127.03787 37.47773, 127.0375225 37.4780566))"
pedestrian_170,pedestrian_436843482,pedestrian_4184383143,51.538,1.03076,"MultiLineString ((127.0398559 37.4785947, 127.039481 37.4789501))"
pedestrian_171,pedestrian_436843482,pedestrian_1925499060,13.355,0.2671,"MultiLineString ((127.0398559 37.4785947, 127.0399597 37.4786821))"
pedestrian_172,pedestrian_436843482,pedestrian_1925499033,56.926,1.13852,"MultiLineString ((127.0398559 37.4785947, 127.0396977 37.4784791, 127.0395124 37.4783944, 127.0393188 37.478318))"
pedestrian_173,pedestrian_436843484,pedestrian_1694782745,61.379,1.22758,"MultiLineString ((127.0418306 37.480703, 127.0412746 37.4810347))"
pedestrian_174,pedestrian_436843484,pedestrian_4184424784,23.508,0.47016,"MultiLineString ((127.0418306 37.480703, 127.0419821 37.4808769))"
