area_use,area_supply,space,rooms,restrooms,entrance,management_fee_year,management_fee_summer,management_fee_winter,floor_plan_url,households,area_supply_pyeong,uuid,apartment_uuid
177.52,191.78,191A㎡,5,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=468&ptpId=2,44,58,apartmenttype_105,apartment_1165010122
179.08,191.79,191B㎡,5,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=468&ptpId=6,4,58,apartmenttype_106,apartment_1165010122
78.02,80.86,80A㎡,2,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=5,8,24,apartmenttype_107,apartment_1165010123
80.33,80.85,80B㎡,2,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=3,76,24,apartmenttype_108,apartment_1165010123
81.39,82.08,82A㎡,2,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=1,174,24,apartmenttype_109,apartment_1165010123
81.88,82.08,82C㎡,2,1,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=7,15,24,apartmenttype_110,apartment_1165010123
81.92,82.32,82B㎡,2,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=6,1,24,apartmenttype_111,apartment_1165010123
116.13,117.15,117A㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=2,129,35,apartmenttype_112,apartment_1165010123
116.96,117.15,117B㎡,3,1,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=8,15,35,apartmenttype_113,apartment_1165010123
162.77,164.16,164㎡,5,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=4,1,49,apartmenttype_114,apartment_1165010123
133.31,165.14,165㎡,4,2,계단식,314506.0,337368.0,314143.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3400&ptpId=1,74,50,apartmenttype_115,apartment_1165010124
158.82,196.74,196D㎡,5,2,계단식,374690.0,401927.0,374257.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3400&ptpId=6,42,59,apartmenttype_116,apartment_1165010124
158.99,196.95,196C㎡,5,2,계단식,375091.0,402357.0,374658.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3400&ptpId=5,19,59,apartmenttype_117,apartment_1165010124
159.47,197.55,197B㎡,5,2,계단식,376223.0,403572.0,375789.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3400&ptpId=4,19,59,apartmenttype_118,apartment_1165010124
186.53,231.07,231㎡,5,2,계단식,440064.0,472053.0,439556.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3400&ptpId=7,38,70,apartmenttype_119,apartment_1165010124
89.84,117.07,117㎡,3,2,계단식,292948.0,266503.0,352769.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=465&ptpId=1,84,35,apartmenttype_120,apartment_1165010125
121.07,148.82,148㎡,4,2,계단식,394780.0,359142.0,475397.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=465&ptpId=2,60,45,apartmenttype_121,apartment_1165010125
155.23,177.45,177A㎡,4,2,계단식,506151.0,460460.0,609510.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=465&ptpId=4,24,53,apartmenttype_122,apartment_1165010125
155.44,175.79,175B㎡,4,2,계단식,506855.0,461100.0,610357.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=465&ptpId=3,48,53,apartmenttype_123,apartment_1165010125
198.53,231.63,231㎡,4,2,계단식,632003.0,706711.0,625770.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=17709&ptpId=1,77,70,apartmenttype_124,apartment_1165010126
202.46,235.96,235㎡,4,2,계단식,644520.0,720708.0,638164.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=17709&ptpId=2,30,71,apartmenttype_125,apartment_1165010126
